id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO2389,28,27.73,3966,3912,1996,-0.27,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.69722222|-8.64472222
ctb0033-RO2928,28,25.86,5901,4417,1996,-2.14,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.25138889|-9.71
ctb0033-RO2949,28,28.47,3972,3925,1996,0.469999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.64805556|-9.79138889
ctb0033-RO3599,28,28.59,4101,3898,1996,0.59,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.08833333|-8.17138889
ctb0033-RO3701,28,27.69,3660,3589,1996,-0.309999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.91638889|-8.94555556
ctb0033-RO3727,28,28.15,4059,3970,1996,0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.43277778|-8.01833333
ctb0033-RO3897,28,28,3469,3401,1996,0,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.33861111|-9.285
ctb0033-RO2382,29,27.9,3747,3664,1996,-1.1,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.75583333|-8.70083333
ctb0033-RO2385,29,27.23,3921,3865,1996,-1.77,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.82888889|-8.67333333
ctb0033-RO2916,29,28.71,3215,3177,1996,-0.289999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.85|-9.64472222
ctb0033-RO2931,29,28.44,3819,3506,1996,-0.559999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.24361111|-9.80611111
ctb0033-RO2978,29,29.1,4024,3919,1996,0.100000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.59472222|-9.80527778
ctb0033-RO3593,29,29.38,3466,3405,1996,0.379999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.96472222|-8.37472222
ctb0033-RO3731,29,28.93,4400,4312,1996,-0.0700000000000003,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.6075|-8.08444444
ctb0033-RO2940,30,30.31,3436,3369,1996,0.309999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.55555556|-9.74527778
ctb0033-RO2993,30,29.98,3792,3670,1996,-0.0199999999999996,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.40388889|-9.74527778
ctb0033-RO3714,30,29.77,4009,3921,1996,-0.23,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.0075|-8.76027778
ctb0033-RO2395,31,30.67,4277,4297,1996,-0.329999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.91722222|-8.80277778
ctb0033-RO2938,31,30.86,4135,4081,1996,-0.140000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.56194444|-9.43194444
ctb0033-RO2988,31,30.12,3349,3255,1996,-0.879999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.47694444|-9.60916667
ctb0033-RO2990,31,30.67,3871,3750,1996,-0.329999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.32166667|-9.66694444
ctb0033-RO2996,31,30.26,3295,3224,1996,-0.739999999999998,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.35361111|-9.83722222
ctb0033-RO3343,31,30.48,3497,3441,1996,-0.52,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.87333333|-9.3675
ctb0033-RO3595,31,30.77,3452,3373,1996,-0.23,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.01472222|-8.32333333
ctb0033-RO3726,31,30.96,5238,4411,1996,-0.0399999999999991,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.38805556|-7.97833333
ctb0033-RO1893,32,31.35,3357,3280,1996,-0.649999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.44416667|-9.19972222
